LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01000001,City of London 001A,6.2080 ,9,0.0070 ,10,0.0100 ,10,0.0240 ,10,-1.6540 ,10,-2.0120 ,10,29.4720 ,3,31.8730 ,3
E01000002,City of London 001B,5.1430 ,10,0.0340 ,10,0.0270 ,10,0.0630 ,10,-1.1150 ,10,-2.3430 ,10,24.4120 ,4,23.0840 ,4
E01000003,City of London 001C,19.4020 ,5,0.0860 ,6,0.0860 ,5,5.8040 ,9,-0.1020 ,6,-1.0320 ,9,40.1030 ,1,40.5350 ,2
E01000005,City of London 001E,28.6520 ,3,0.2110 ,2,0.1360 ,3,22.2600 ,4,-0.1210 ,6,-1.3170 ,10,39.9000 ,1,28.9790 ,3
E01000006,Barking and Dagenham 016A,19.8370 ,5,0.1170 ,5,0.0590 ,7,14.7980 ,6,-0.3590 ,7,-0.1470 ,6,45.1710 ,1,26.8880 ,4
E01000007,Barking and Dagenham 015A,31.5760 ,3,0.2070 ,2,0.1070 ,4,11.3850 ,7,-0.0270 ,5,0.8460 ,2,50.4200 ,1,25.9950 ,4
E01000008,Barking and Dagenham 015B,37.5960 ,2,0.2650 ,2,0.1510 ,2,25.5060 ,4,0.2500 ,4,0.3530 ,4,45.4130 ,1,30.2330 ,3
E01000009,Barking and Dagenham 016B,32.8440 ,3,0.1870 ,3,0.1090 ,4,15.7130 ,6,0.4540 ,3,0.8950 ,2,48.1190 ,1,28.6010 ,3
E01000010,Barking and Dagenham 015C,32.4370 ,3,0.1690 ,3,0.0730 ,6,11.7620 ,7,-0.0020 ,5,1.2140 ,1,50.5800 ,1,47.9320 ,1
E01000011,Barking and Dagenham 016C,30.6790 ,3,0.1670 ,3,0.0810 ,5,22.5190 ,4,-0.1370 ,6,0.5260 ,3,52.9480 ,1,39.8570 ,2
E01000012,Barking and Dagenham 015D,34.7140 ,2,0.2390 ,2,0.0960 ,5,19.7740 ,5,-0.0560 ,6,0.5420 ,3,56.5070 ,1,36.8810 ,2
E01000013,Barking and Dagenham 013A,38.9970 ,2,0.2130 ,2,0.1450 ,3,24.0030 ,4,0.6700 ,3,1.1990 ,1,45.2520 ,1,30.4240 ,3
E01000014,Barking and Dagenham 013B,35.6700 ,2,0.2010 ,3,0.1350 ,3,31.5010 ,3,0.3500 ,4,0.8250 ,2,46.1350 ,1,25.1220 ,4
E01000015,Barking and Dagenham 009A,33.6320 ,2,0.2160 ,2,0.1230 ,3,26.0130 ,4,0.0250 ,5,0.3720 ,4,50.4000 ,1,25.6960 ,4
