,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,area,NO2,NOx,PM25,PM10
0,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,0.133320768859,42.88667932763157,80.49970456778286,13.541876086269516,23.794008869722663
1,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,0.226191273063,38.81134673262064,67.60933746742991,13.05594790129535,22.689910770517535
2,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,0.057302966528,38.86821830435975,67.8866707004913,12.885707593943975,21.91615867614746
3,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,0.190738760508,39.98235441803682,73.94560697543547,13.40798175259956,23.963275989396518
4,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.144195846859,26.6189074503014,40.26464086123496,10.605409276850708,16.257729134519785
5,E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.198134809228,29.640254840583268,49.167388847213466,11.014837530667414,17.46314086226041
6,E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.193425098938,32.06210607290268,56.345491687456764,11.344215154647827,18.782774750391642
7,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.128591526167,29.247730720190354,48.01286168746007,10.997600322888221,17.418220737834037
8,E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.348848342177,29.056685304587102,47.12170307469668,10.939642961901898,17.6318207377011
9,E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.0902976797981,27.152171647813585,41.44773974948459,10.721447380913629,16.609675682915583
10,E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.140353449329,27.452169624828546,42.19588694341502,10.681658856209866,16.45517349243164
11,E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.208625860583,25.091483028455713,38.5863954463681,10.379362440657342,15.678503337947802
12,E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.340176821736,23.670190352229444,33.68464418196342,10.19583777306785,15.146052978408168
13,E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.279995867643,23.296783452722988,33.26304848852417,10.232241319484466,15.582035895580898
14,E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.196129927712,23.676033234987102,34.48432268861865,10.26452464744693,15.504516070006323
15,E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.160789820742,24.118438973146326,35.59162929011326,10.299640405411814,15.477789296823389
16,E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.173501498199,23.297938640986647,33.218489085402446,10.223018982700099,15.324556274948833
17,E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.181817813039,23.873671723245014,34.06010370379452,10.200417377022156,15.111972715136266
18,E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.188414429778,24.748234017420625,36.73456944449473,10.361999129844925,15.543394711058019
19,E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.171351203049,25.20553175382862,37.65687287783792,10.390261557648932,15.696039066810698
20,E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.128353001132,24.210250106038927,34.98279267323168,10.286431780344323,15.353515335276157
21,E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.213389435853,25.91374986917053,39.45556457910067,10.516548099203998,16.114434472385664
22,E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.127930957881,25.6580037689209,39.23449458195613,10.53904363485483,16.182725794865537
23,E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.150578114794,24.69273296562401,36.19505618327373,10.364733409881591,15.611180514258308
24,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,1.48193709758,21.99612741766349,30.432960230200557,9.74905573218136,14.256006736086126
25,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.147122241683,22.731610336715,32.01105151215011,9.927686382818093,14.57009670997887
26,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.253013784938,24.489324850282387,37.120357143300616,10.207113619701403,15.285084996051818
27,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.283560642777,24.825257941206466,38.52655225216234,10.228216189001081,15.429570103919557
28,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.843553269192,24.204680374658228,36.602257153122444,10.135993133830167,15.175305328603836
