LSOA Code,population,old,median_age,male,male_pop,old_pop
E01000001,1636.00 ,547.00 ,49.20 ,886.00 ,0.54 ,0.33 
E01000002,1558.00 ,482.00 ,47.30 ,815.00 ,0.52 ,0.31 
E01000003,1786.00 ,518.00 ,47.10 ,931.00 ,0.52 ,0.29 
E01000005,1888.00 ,265.00 ,25.70 ,1022.00 ,0.54 ,0.14 
E01000006,2094.00 ,247.00 ,33.40 ,1072.00 ,0.51 ,0.12 
E01000007,2502.00 ,163.00 ,29.80 ,1190.00 ,0.48 ,0.07 
E01000008,1597.00 ,89.00 ,29.10 ,847.00 ,0.53 ,0.06 
E01000009,1929.00 ,228.00 ,34.30 ,1058.00 ,0.55 ,0.12 
E01000010,3579.00 ,178.00 ,30.90 ,1934.00 ,0.54 ,0.05 
E01000011,1726.00 ,227.00 ,33.10 ,927.00 ,0.54 ,0.13 
E01000012,2343.00 ,138.00 ,29.60 ,1187.00 ,0.51 ,0.06 
E01000013,1855.00 ,266.00 ,33.60 ,906.00 ,0.49 ,0.14 
E01000014,1661.00 ,243.00 ,34.30 ,791.00 ,0.48 ,0.15 
E01000015,2452.00 ,249.00 ,31.50 ,1227.00 ,0.50 ,0.10 
E01000016,1724.00 ,224.00 ,34.30 ,851.00 ,0.49 ,0.13 
E01000017,1538.00 ,221.00 ,34.50 ,757.00 ,0.49 ,0.14 
E01000018,1718.00 ,212.00 ,34.50 ,814.00 ,0.47 ,0.12 
E01000019,1563.00 ,209.00 ,33.20 ,742.00 ,0.47 ,0.13 
E01000020,1930.00 ,310.00 ,35.90 ,956.00 ,0.50 ,0.16 
E01000021,1756.00 ,226.00 ,32.20 ,873.00 ,0.50 ,0.13 
E01000022,1433.00 ,187.00 ,32.70 ,689.00 ,0.48 ,0.13 
E01000023,3853.00 ,238.00 ,29.90 ,1980.00 ,0.51 ,0.06 
E01000024,1546.00 ,201.00 ,32.60 ,760.00 ,0.49 ,0.13 
E01000025,1676.00 ,237.00 ,34.00 ,803.00 ,0.48 ,0.14 
E01000027,1846.00 ,290.00 ,33.30 ,865.00 ,0.47 ,0.16 
E01000028,1729.00 ,264.00 ,31.50 ,812.00 ,0.47 ,0.15 
E01000029,1764.00 ,465.00 ,40.10 ,861.00 ,0.49 ,0.26 
E01000030,2396.00 ,260.00 ,30.50 ,1193.00 ,0.50 ,0.11 
E01000031,1810.00 ,361.00 ,35.30 ,943.00 ,0.52 ,0.20 
E01000032,1879.00 ,337.00 ,35.70 ,943.00 ,0.50 ,0.18 
